id,domain,function_name,task,role,params,algorithm,settings,supabase_tables,rls_policy,edge_function
1,channel_core,tg_channel_func_00001,"Implement channel_core workflow #1",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_1,edge_core_00001
2,channel_profile,tg_channel_func_00002,"Implement channel_profile workflow #2",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_public,max_media_per_post]",rank_by_engagement,"is_public;max_media_per_post","channel_members|channel_pins",owner_admin_write_subscriber_read_2,edge_profile_00002
3,channel_privacy,tg_channel_func_00003,"Implement channel_privacy workflow #3",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[requires_approval,allow_comments]",rank_hybrid_recency_engagement,"requires_approval;allow_comments","channel_messages|channel_drafts",owner_admin_write_subscriber_read_3,edge_privacy_00003
4,channel_permissions,tg_channel_func_00004,"Implement channel_permissions workflow #4",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[slow_mode_seconds,allow_reactions]",bandit_ucb1,"slow_mode_seconds;allow_reactions","channel_message_media|channel_scheduled_posts",owner_admin_write_subscriber_read_4,edge_permissions_00004
5,channel_membership,tg_channel_func_00005,"Implement channel_membership workflow #5",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_post_length,allow_forwarding]",bayesian_ab,"max_post_length;allow_forwarding","channel_reactions|channel_reports",owner_admin_write_subscriber_read_5,edge_membership_00005
6,channel_posts,tg_channel_func_00006,"Implement channel_posts workflow #6",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[max_media_per_post,allow_screenshot]",anomaly_zscore,"max_media_per_post;allow_screenshot","channel_comments|channel_moderation_actions",owner_admin_write_subscriber_read_6,edge_posts_00006
7,channel_media,tg_channel_func_00007,"Implement channel_media workflow #7",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_comments,enable_signatures]",spam_score_weighted,"allow_comments;enable_signatures","channel_threads|channel_invites",owner_admin_write_subscriber_read_7,edge_media_00007
8,channel_reactions,tg_channel_func_00008,"Implement channel_reactions workflow #8",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_reactions,default_parse_mode]",toxicity_threshold,"allow_reactions;default_parse_mode","channel_pins|channel_links",owner_admin_write_subscriber_read_1,edge_reactions_00008
9,channel_comments,tg_channel_func_00009,"Implement channel_comments workflow #9",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_forwarding,retention_days]",link_risk_scoring,"allow_forwarding;retention_days","channel_drafts|channel_qr_tokens",owner_admin_write_subscriber_read_2,edge_comments_00009
10,channel_threads,tg_channel_func_00010,"Implement channel_threads workflow #10",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[allow_screenshot,archive_after_days]",duplicate_hash_detection,"allow_screenshot;archive_after_days","channel_scheduled_posts|channel_notifications",owner_admin_write_subscriber_read_3,edge_threads_00010
11,channel_pinned,tg_channel_func_00011,"Implement channel_pinned workflow #11",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[enable_signatures,anti_spam_level]",semantic_similarity,"enable_signatures;anti_spam_level","channel_reports|channel_read_states",owner_admin_write_subscriber_read_4,edge_pinned_00011
12,channel_scheduling,tg_channel_func_00012,"Implement channel_scheduling workflow #12",admin,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[default_parse_mode,auto_translate]",language_detect_fasttext,"default_parse_mode;auto_translate","channel_moderation_actions|channel_analytics_daily",owner_admin_write_subscriber_read_5,edge_scheduling_00012
13,channel_drafts,tg_channel_func_00013,"Implement channel_drafts workflow #13",editor,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[retention_days,auto_caption]",translation_nmt,"retention_days;auto_caption","channel_invites|channel_ab_experiments",owner_admin_write_subscriber_read_6,edge_drafts_00013
14,channel_moderation,tg_channel_func_00014,"Implement channel_moderation workflow #14",moderator,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[archive_after_days,content_filter_level]",thumbnail_saliency,"archive_after_days;content_filter_level","channel_links|channel_audit_logs",owner_admin_write_subscriber_read_7,edge_moderation_00014
15,channel_reports,tg_channel_func_00015,"Implement channel_reports workflow #15",publisher,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[anti_spam_level,rate_limit_per_minute]",trend_ewma,"anti_spam_level;rate_limit_per_minute","channel_qr_tokens|channels",owner_admin_write_subscriber_read_1,edge_reports_00015
16,channel_antispam,tg_channel_func_00016,"Implement channel_antispam workflow #16",analyst,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_translate,realtime_sync]",churn_prediction_logreg,"auto_translate;realtime_sync","channel_notifications|channel_members",owner_admin_write_subscriber_read_2,edge_antispam_00016
17,channel_search,tg_channel_func_00017,"Implement channel_search workflow #17",support,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[auto_caption,is_enabled]",quota_token_bucket,"auto_caption;is_enabled","channel_read_states|channel_messages",owner_admin_write_subscriber_read_3,edge_search_00017
18,channel_discovery,tg_channel_func_00018,"Implement channel_discovery workflow #18",bot,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[content_filter_level,is_public]",retry_exponential_backoff,"content_filter_level;is_public","channel_analytics_daily|channel_message_media",owner_admin_write_subscriber_read_4,edge_discovery_00018
19,channel_invites,tg_channel_func_00019,"Implement channel_invites workflow #19",subscriber,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[rate_limit_per_minute,requires_approval]",conflict_last_write_wins,"rate_limit_per_minute;requires_approval","channel_ab_experiments|channel_reactions",owner_admin_write_subscriber_read_5,edge_invites_00019
20,channel_links,tg_channel_func_00020,"Implement channel_links workflow #20",guest,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[realtime_sync,slow_mode_seconds]",conflict_manual_merge,"realtime_sync;slow_mode_seconds","channel_audit_logs|channel_comments",owner_admin_write_subscriber_read_6,edge_links_00020
21,channel_qr,tg_channel_func_00021,"Implement channel_qr workflow #21",owner,"channel_id:user_uuid; actor_id:user_uuid; payload:jsonb; flags:[is_enabled,max_post_length]",rank_by_recency,"is_enabled;max_post_length","channels|channel_threads",owner_admin_write_subscriber_read_7,edge_qr_00021
